ma_don,san_pham,so_luong,don_gia,kenh,tinh_tp,ngay,thanh_tien
DH00488,Chuột,2,250000,Cửa hàng,Cần Thơ,2024-06-02,500000
DH00670,Chuột,2,250000,Cửa hàng,TP. Hồ Chí Minh,2024-02-18,500000
DH00025,Webcam,1,890000,Online,Lâm Đồng,2024-10-12,890000
DH00730,Webcam,4,890000,Online,Bình Dương,2024-03-24,3560000
DH00472,Ổ cứng SSD,2,1450000,Online,TP. Hồ Chí Minh,2024-01-02,2900000
DH00257,Bàn phím,2,450000,Cửa hàng,Khánh Hòa,2024-05-11,900000
DH00561,Bàn phím,1,450000,Online,Khánh Hòa,2024-06-28,450000
DH00759,Ổ cứng SSD,4,1450000,Online,TP. Hồ Chí Minh,2024-09-03,5800000
DH00845,Webcam,1,890000,Online,Khánh Hòa,2024-05-17,890000
DH00492,Ổ cứng SSD,3,1450000,Cửa hàng,Hà Nội,2024-05-12,4350000
DH00548,Chuột,5,250000,Online,Cần Thơ,2024-07-17,1250000
DH00247,Màn hình,5,3200000,Online,Lâm Đồng,2024-11-25,16000000
DH00123,Tai nghe,1,690000,Online,Bình Dương,2024-11-08,690000
DH00579,Màn hình,5,3200000,Cửa hàng,Cần Thơ,2024-04-04,16000000
DH00690,Bàn phím,2,450000,Online,Lâm Đồng,2024-03-24,900000
DH00207,Webcam,1,890000,Online,Hà Nội,2024-08-16,890000
DH00640,Ổ cứng SSD,3,1450000,Online,Không rõ,2024-10-18,4350000
DH00177,Ổ cứng SSD,4,1450000,Cửa hàng,Đồng Nai,2024-06-09,5800000
DH00718,Màn hình,1,3200000,Cửa hàng,Đồng Nai,2024-03-08,3200000
DH00756,Chuột,5,250000,Online,Lâm Đồng,2024-03-10,1250000
DH00001,Tai nghe,4,690000,Online,Hà Nội,2024-04-22,2760000
DH00227,Webcam,5,890000,Online,Đồng Nai,2024-12-28,4450000
DH00878,Chuột,5,250000,Cửa hàng,Đồng Nai,2024-10-04,1250000
DH00250,Bàn phím,4,450000,Online,Bình Dương,2024-03-27,1800000
DH00470,Màn hình,5,3200000,Online,Bình Dương,2024-10-07,16000000
DH00427,Bàn phím,3,450000,Online,Lâm Đồng,2024-05-28,1350000
DH00706,Màn hình,3,3200000,Online,Bình Dương,2024-06-16,9600000
DH00006,Bàn phím,2,450000,Cửa hàng,Đồng Nai,2024-12-06,900000
DH00261,Màn hình,2,3200000,Online,Khánh Hòa,2024-02-25,6400000
DH00871,Màn hình,1,3200000,Online,Khánh Hòa,2024-10-16,3200000
DH00314,Ổ cứng SSD,4,1450000,Online,TP. Hồ Chí Minh,2024-05-28,5800000
DH00597,Webcam,2,890000,Online,Hà Nội,2024-03-29,1780000
DH00060,Ổ cứng SSD,3,1450000,Cửa hàng,Đồng Nai,2024-11-30,4350000
DH00346,Bàn phím,2,450000,Online,TP. Hồ Chí Minh,2024-03-18,900000
DH00048,Chuột,5,250000,Cửa hàng,Bình Dương,2024-09-22,1250000
DH00809,Chuột,1,250000,Online,Khánh Hòa,2024-11-21,250000
DH00303,Chuột,5,250000,Online,Bình Dương,2024-01-23,1250000
DH00750,Chuột,5,250000,Cửa hàng,Khánh Hòa,2024-02-02,1250000
DH00633,Tai nghe,4,690000,Online,Đà Nẵng,2024-05-28,2760000
DH00287,Tai nghe,5,690000,Online,Đà Nẵng,2024-12-15,3450000
DH00837,Webcam,3,890000,Cửa hàng,Hà Nội,2024-06-03,2670000
DH00794,Webcam,5,890000,Online,Hà Nội,2024-01-06,4450000
DH00679,Bàn phím,5,450000,Online,Khánh Hòa,2024-07-29,2250000
DH00313,Webcam,2,890000,Online,Đà Nẵng,2024-08-21,1780000
DH00722,Ổ cứng SSD,1,1450000,Online,Lâm Đồng,2024-02-02,1450000
DH00897,Màn hình,5,3200000,Online,Lâm Đồng,2024-09-01,16000000
DH00775,Ổ cứng SSD,1,1450000,Online,Đồng Nai,2024-11-10,1450000
DH00735,Bàn phím,3,450000,Cửa hàng,Đồng Nai,2024-03-01,1350000
DH00726,Ổ cứng SSD,5,1450000,Online,TP. Hồ Chí Minh,2024-01-26,7250000
DH00460,Tai nghe,5,690000,Online,Lâm Đồng,2024-08-22,3450000
DH00879,Tai nghe,3,690000,Online,Cần Thơ,2024-03-09,2070000
DH00461,Ổ cứng SSD,5,1450000,Online,Hà Nội,2024-06-02,7250000
DH00384,Ổ cứng SSD,2,1450000,Cửa hàng,Lâm Đồng,2024-03-05,2900000
DH00018,Webcam,4,890000,Cửa hàng,Đà Nẵng,2024-11-15,3560000
DH00748,Tai nghe,2,690000,Cửa hàng,TP. Hồ Chí Minh,2024-06-11,1380000
DH00043,Chuột,3,250000,Cửa hàng,Lâm Đồng,2024-04-15,750000
DH00817,Tai nghe,5,690000,Online,Hà Nội,2024-02-27,3450000
DH00856,Bàn phím,3,450000,Online,Khánh Hòa,2024-04-13,1350000
DH00826,Tai nghe,1,690000,Online,Cần Thơ,2024-10-12,690000
DH00889,Ổ cứng SSD,2,1450000,Online,Khánh Hòa,2024-04-12,2900000
DH00512,Màn hình,3,3200000,Online,TP. Hồ Chí Minh,2024-11-11,9600000
DH00077,Ổ cứng SSD,2,1450000,Online,Bình Dương,2024-05-17,2900000
DH00142,Tai nghe,4,690000,Cửa hàng,Bình Dương,2024-11-04,2760000
DH00876,Ổ cứng SSD,5,1450000,Cửa hàng,Hà Nội,2024-05-27,7250000
DH00586,Tai nghe,2,690000,Cửa hàng,Không rõ,2024-01-22,1380000
DH00790,Bàn phím,1,450000,Online,TP. Hồ Chí Minh,2024-04-22,450000
DH00785,Bàn phím,3,450000,Cửa hàng,Lâm Đồng,2024-11-04,1350000
DH00153,Bàn phím,3,450000,Online,Đà Nẵng,2024-08-01,1350000
DH00033,Chuột,1,250000,Online,Đồng Nai,2024-05-30,250000
DH00016,Bàn phím,4,450000,Cửa hàng,Bình Dương,2024-07-31,1800000
DH00436,Ổ cứng SSD,5,1450000,Online,Đồng Nai,2024-04-16,7250000
DH00499,Chuột,1,250000,Cửa hàng,TP. Hồ Chí Minh,2024-12-13,250000
DH00620,Bàn phím,1,450000,Online,Không rõ,2024-06-05,450000
DH00506,Bàn phím,2,450000,Online,Khánh Hòa,2024-11-11,900000
DH00404,Màn hình,1,3200000,Online,Lâm Đồng,2024-01-06,3200000
DH00660,Ổ cứng SSD,1,1450000,Online,Đồng Nai,2024-12-27,1450000
DH00451,Ổ cứng SSD,2,1450000,Cửa hàng,Lâm Đồng,2024-11-20,2900000
DH00767,Chuột,3,250000,Online,Đồng Nai,2024-03-27,750000
DH00036,Bàn phím,1,450000,Online,Không rõ,2024-02-06,450000
DH00226,Bàn phím,4,450000,Online,Đồng Nai,2024-07-17,1800000
DH00173,Ổ cứng SSD,2,1450000,Online,Lâm Đồng,2024-11-09,2900000
DH00242,Chuột,4,250000,Online,Khánh Hòa,2024-12-26,1000000
DH00530,Chuột,5,250000,Online,Lâm Đồng,2024-11-30,1250000
DH00344,Tai nghe,1,690000,Cửa hàng,Hà Nội,2024-10-03,690000
DH00157,Màn hình,1,3200000,Online,Bình Dương,2024-05-09,3200000
DH00834,Tai nghe,5,690000,Online,Cần Thơ,2024-02-24,3450000
DH00749,Chuột,1,250000,Cửa hàng,TP. Hồ Chí Minh,2024-11-13,250000
DH00829,Chuột,3,250000,Online,Đà Nẵng,2024-07-26,750000
DH00824,Màn hình,5,3200000,Cửa hàng,Bình Dương,2024-09-17,16000000
DH00507,Chuột,3,250000,Online,Đồng Nai,2024-09-26,750000
DH00556,Chuột,1,250000,Online,TP. Hồ Chí Minh,2024-06-04,250000
DH00216,Ổ cứng SSD,2,1450000,Online,TP. Hồ Chí Minh,2024-07-01,2900000
DH00209,Tai nghe,1,690000,Cửa hàng,TP. Hồ Chí Minh,2024-12-27,690000
DH00065,Ổ cứng SSD,3,1450000,Online,Đồng Nai,2024-06-14,4350000
DH00011,Webcam,4,890000,Cửa hàng,Lâm Đồng,2024-12-17,3560000
DH00860,Chuột,5,250000,Online,Đà Nẵng,2024-12-05,1250000
DH00624,Chuột,5,250000,Online,Cần Thơ,2024-02-24,1250000
DH00179,Webcam,4,890000,Online,TP. Hồ Chí Minh,2024-07-13,3560000
DH00253,Webcam,4,890000,Cửa hàng,Lâm Đồng,2024-06-21,3560000
DH00606,Webcam,2,890000,Cửa hàng,Khánh Hòa,2024-08-07,1780000
DH00604,Bàn phím,3,450000,Cửa hàng,Hà Nội,2024-03-22,1350000
DH00262,Chuột,4,250000,Cửa hàng,Đà Nẵng,2024-12-24,1000000
DH00101,Chuột,5,250000,Cửa hàng,TP. Hồ Chí Minh,2024-07-08,1250000
DH00168,Tai nghe,1,690000,Cửa hàng,Cần Thơ,2024-11-14,690000
DH00578,Bàn phím,2,450000,Online,Hà Nội,2024-07-03,900000
DH00315,Tai nghe,4,690000,Cửa hàng,Cần Thơ,2024-01-07,2760000
DH00754,Ổ cứng SSD,5,1450000,Cửa hàng,TP. Hồ Chí Minh,2024-07-14,7250000
DH00519,Chuột,3,250000,Cửa hàng,Đồng Nai,2024-10-09,750000
DH00808,Chuột,3,250000,Cửa hàng,Hà Nội,2024-10-04,750000
DH00662,Màn hình,4,3200000,Online,Khánh Hòa,2024-10-19,12800000
DH00645,Tai nghe,5,690000,Cửa hàng,TP. Hồ Chí Minh,2024-10-31,3450000
DH00447,Tai nghe,1,690000,Cửa hàng,TP. Hồ Chí Minh,2024-07-19,690000
DH00859,Webcam,2,890000,Online,Hà Nội,2024-12-07,1780000
DH00368,Bàn phím,4,450000,Online,Đồng Nai,2024-10-28,1800000
DH00146,Bàn phím,1,450000,Cửa hàng,Bình Dương,2024-07-09,450000
DH00363,Tai nghe,5,690000,Online,Khánh Hòa,2024-01-03,3450000
DH00661,Webcam,3,890000,Cửa hàng,Đà Nẵng,2024-06-09,2670000
DH00820,Ổ cứng SSD,1,1450000,Online,Khánh Hòa,2024-01-08,1450000
DH00852,Tai nghe,2,690000,Cửa hàng,Cần Thơ,2024-03-16,1380000
DH00765,Webcam,4,890000,Online,Đà Nẵng,2024-09-06,3560000
DH00322,Màn hình,3,3200000,Online,Cần Thơ,2024-09-26,9600000
DH00186,Tai nghe,1,690000,Online,Lâm Đồng,2024-03-18,690000
DH00654,Webcam,1,890000,Online,Hà Nội,2024-09-07,890000
DH00133,Màn hình,3,3200000,Cửa hàng,Khánh Hòa,2024-09-11,9600000
DH00631,Webcam,4,890000,Online,Lâm Đồng,2024-08-03,3560000
DH00757,Webcam,1,890000,Cửa hàng,Đồng Nai,2024-07-19,890000
DH00800,Màn hình,3,3200000,Online,Hà Nội,2024-02-17,9600000
DH00120,Bàn phím,1,450000,Cửa hàng,Đà Nẵng,2024-03-03,450000
DH00039,Tai nghe,3,690000,Online,Khánh Hòa,2024-01-01,2070000
DH00494,Chuột,3,250000,Online,Đà Nẵng,2024-08-13,750000
DH00339,Tai nghe,3,690000,Online,TP. Hồ Chí Minh,2024-07-22,2070000
DH00819,Màn hình,3,3200000,Online,Hà Nội,2024-03-26,9600000
DH00085,Chuột,5,250000,Cửa hàng,Cần Thơ,2024-12-14,1250000
DH00225,Webcam,2,890000,Online,Bình Dương,2024-10-12,1780000
DH00020,Bàn phím,1,450000,Online,Khánh Hòa,2024-04-22,450000
DH00073,Tai nghe,1,690000,Online,Đồng Nai,2024-08-21,690000
DH00419,Webcam,1,890000,Online,Đồng Nai,2024-10-30,890000
DH00076,Màn hình,2,3200000,Online,Lâm Đồng,2024-09-14,6400000
DH00381,Màn hình,4,3200000,Cửa hàng,Khánh Hòa,2024-07-16,12800000
DH00386,Ổ cứng SSD,1,1450000,Online,Cần Thơ,2024-08-10,1450000
DH00453,Màn hình,3,3200000,Online,Lâm Đồng,2024-01-01,9600000
DH00265,Bàn phím,4,450000,Cửa hàng,Đồng Nai,2024-08-21,1800000
DH00041,Webcam,2,890000,Online,TP. Hồ Chí Minh,2024-07-20,1780000
DH00429,Chuột,4,250000,Online,Đồng Nai,2024-12-20,1000000
DH00161,Màn hình,1,3200000,Cửa hàng,Bình Dương,2024-04-10,3200000
DH00111,Màn hình,4,3200000,Online,Cần Thơ,2024-05-11,12800000
DH00304,Ổ cứng SSD,2,1450000,Online,Đồng Nai,2024-05-07,2900000
DH00882,Tai nghe,4,690000,Cửa hàng,Đà Nẵng,2024-06-21,2760000
DH00049,Chuột,3,250000,Online,Đà Nẵng,2024-01-25,750000
DH00510,Webcam,5,890000,Online,Bình Dương,2024-05-25,4450000
DH00019,Chuột,1,250000,Online,Đà Nẵng,2024-02-23,250000
DH00044,Màn hình,3,3200000,Cửa hàng,Đồng Nai,2024-11-01,9600000
DH00274,Ổ cứng SSD,5,1450000,Online,Lâm Đồng,2024-06-29,7250000
DH00444,Màn hình,2,3200000,Online,Cần Thơ,2024-08-29,6400000
DH00091,Webcam,5,890000,Cửa hàng,TP. Hồ Chí Minh,2024-02-06,4450000
DH00276,Chuột,3,250000,Cửa hàng,TP. Hồ Chí Minh,2024-06-06,750000
DH00847,Webcam,2,890000,Cửa hàng,Đà Nẵng,2024-12-14,1780000
DH00673,Bàn phím,2,450000,Online,Cần Thơ,2024-06-15,900000
DH00115,Webcam,5,890000,Online,TP. Hồ Chí Minh,2024-08-04,4450000
DH00329,Màn hình,2,3200000,Cửa hàng,Bình Dương,2024-05-18,6400000
DH00581,Màn hình,4,3200000,Online,Bình Dương,2024-09-30,12800000
DH00466,Webcam,1,890000,Cửa hàng,Đồng Nai,2024-10-08,890000
DH00728,Tai nghe,3,690000,Online,Lâm Đồng,2024-10-06,2070000
DH00132,Tai nghe,5,690000,Online,Đồng Nai,2024-08-08,3450000
DH00002,Webcam,4,890000,Cửa hàng,TP. Hồ Chí Minh,2024-10-08,3560000
DH00700,Webcam,4,890000,Online,Hà Nội,2024-10-15,3560000
DH00228,Chuột,4,250000,Cửa hàng,Lâm Đồng,2024-12-07,1000000
DH00691,Tai nghe,1,690000,Online,Đà Nẵng,2024-12-04,690000
DH00840,Bàn phím,3,450000,Online,Bình Dương,2024-10-08,1350000
DH00694,Bàn phím,3,450000,Online,Đà Nẵng,2024-02-14,1350000
DH00134,Tai nghe,2,690000,Cửa hàng,TP. Hồ Chí Minh,2024-07-07,1380000
DH00736,Bàn phím,5,450000,Cửa hàng,Bình Dương,2024-08-03,2250000
DH00249,Màn hình,5,3200000,Online,TP. Hồ Chí Minh,2024-10-16,16000000
DH00284,Tai nghe,4,690000,Online,Khánh Hòa,2024-10-05,2760000
DH00497,Webcam,3,890000,Online,Cần Thơ,2024-05-15,2670000
DH00681,Chuột,5,250000,Cửa hàng,Cần Thơ,2024-01-15,1250000
DH00336,Chuột,5,250000,Online,Đà Nẵng,2024-11-12,1250000
DH00440,Màn hình,5,3200000,Cửa hàng,Khánh Hòa,2024-03-12,16000000
DH00264,Ổ cứng SSD,3,1450000,Online,TP. Hồ Chí Minh,2024-02-11,4350000
DH00143,Màn hình,4,3200000,Cửa hàng,Khánh Hòa,2024-05-19,12800000
DH00246,Chuột,4,250000,Cửa hàng,Đồng Nai,2024-11-11,1000000
DH00813,Màn hình,3,3200000,Cửa hàng,TP. Hồ Chí Minh,2024-10-26,9600000
DH00028,Màn hình,1,3200000,Cửa hàng,Cần Thơ,2024-09-02,3200000
DH00442,Bàn phím,2,450000,Online,Đồng Nai,2024-10-02,900000
DH00139,Bàn phím,3,450000,Online,Lâm Đồng,2024-07-23,1350000
DH00364,Màn hình,1,3200000,Cửa hàng,Khánh Hòa,2024-05-24,3200000
DH00090,Chuột,1,250000,Cửa hàng,Lâm Đồng,2024-04-30,250000
DH00839,Bàn phím,2,450000,Online,Hà Nội,2024-08-15,900000
DH00024,Tai nghe,4,690000,Cửa hàng,Hà Nội,2024-09-28,2760000
DH00609,Webcam,2,890000,Online,Đà Nẵng,2024-03-09,1780000
DH00080,Màn hình,5,3200000,Cửa hàng,Lâm Đồng,2024-03-18,16000000
DH00126,Webcam,1,890000,Cửa hàng,Khánh Hòa,2024-01-16,890000
DH00705,Chuột,3,250000,Cửa hàng,Đà Nẵng,2024-03-20,750000
DH00243,Màn hình,1,3200000,Online,Đà Nẵng,2024-04-11,3200000
DH00371,Ổ cứng SSD,5,1450000,Cửa hàng,Hà Nội,2024-09-06,7250000
DH00684,Chuột,3,250000,Online,Bình Dương,2024-01-22,750000
DH00327,Chuột,3,250000,Cửa hàng,Khánh Hòa,2024-01-27,750000
DH00580,Tai nghe,4,690000,Cửa hàng,Khánh Hòa,2024-05-28,2760000
DH00658,Màn hình,5,3200000,Online,Đồng Nai,2024-03-07,16000000
DH00505,Bàn phím,5,450000,Cửa hàng,Khánh Hòa,2024-05-07,2250000
DH00409,Ổ cứng SSD,1,1450000,Online,Đà Nẵng,2024-11-26,1450000
DH00082,Chuột,5,250000,Online,Lâm Đồng,2024-02-22,1250000
DH00469,Bàn phím,4,450000,Cửa hàng,Đà Nẵng,2024-03-30,1800000
DH00232,Ổ cứng SSD,1,1450000,Cửa hàng,Lâm Đồng,2024-05-14,1450000
DH00502,Tai nghe,3,690000,Cửa hàng,TP. Hồ Chí Minh,2024-01-01,2070000
DH00038,Màn hình,4,3200000,Online,Cần Thơ,2024-02-20,12800000
DH00843,Chuột,1,250000,Online,Bình Dương,2024-01-31,250000
DH00898,Webcam,4,890000,Cửa hàng,Cần Thơ,2024-07-30,3560000
DH00141,Ổ cứng SSD,3,1450000,Online,TP. Hồ Chí Minh,2024-01-23,4350000
DH00547,Bàn phím,2,450000,Online,Hà Nội,2024-05-02,900000
DH00638,Chuột,3,250000,Online,Hà Nội,2024-12-06,750000
DH00237,Chuột,1,250000,Online,Lâm Đồng,2024-05-27,250000
DH00814,Bàn phím,1,450000,Online,Lâm Đồng,2024-06-09,450000
DH00417,Ổ cứng SSD,2,1450000,Cửa hàng,Cần Thơ,2024-08-22,2900000
DH00766,Màn hình,1,3200000,Cửa hàng,Đồng Nai,2024-05-23,3200000
DH00689,Bàn phím,2,450000,Cửa hàng,Hà Nội,2024-10-03,900000
DH00605,Webcam,4,890000,Online,Bình Dương,2024-01-26,3560000
DH00622,Tai nghe,4,690000,Online,TP. Hồ Chí Minh,2024-09-24,2760000
DH00793,Chuột,2,250000,Cửa hàng,Khánh Hòa,2024-03-09,500000
DH00851,Bàn phím,2,450000,Cửa hàng,Lâm Đồng,2024-11-03,900000
DH00584,Chuột,1,250000,Online,TP. Hồ Chí Minh,2024-10-28,250000
DH00674,Tai nghe,2,690000,Cửa hàng,TP. Hồ Chí Minh,2024-05-20,1380000
DH00333,Bàn phím,4,450000,Online,Đồng Nai,2024-12-24,1800000
DH00270,Chuột,4,250000,Online,Hà Nội,2024-12-26,1000000
DH00338,Webcam,4,890000,Cửa hàng,Khánh Hòa,2024-01-28,3560000
DH00092,Webcam,4,890000,Online,Cần Thơ,2024-08-19,3560000
DH00081,Bàn phím,4,450000,Cửa hàng,Không rõ,2024-07-20,1800000
DH00704,Tai nghe,2,690000,Cửa hàng,Lâm Đồng,2024-06-11,1380000
